,ecosystemName,amount
0,alberta,12144699.885106383
1,british columbia,23526231.163809523
2,east coast,6399397.872340426
3,other,10377083.020618556
4,ottawa,14461938.3125
5,quebec,16175136.875
6,toronto,18042700.430020284
7,waterloo region,22404747.433333334
